  0.1575  0.1596  0.1477  0.1392  0.1239  0.1304  0.1220  0.1064  0.0995  0.1035  0.1035  0.1096  0.1220  0.1303  0.1384  0.1523  0.1467  0.1460  0.1429  0.1311  0.1375  0.1354  0.1122  0.1125  0.1140  0.1069  0.0974  0.0881  0.0846  0.0846  0.0892  0.0888  0.1109  0.1340  0.1431  0.1724
  0.1263  0.1285  0.1317  0.1302  0.1191  0.1016  0.0880  0.0751  0.0749  0.0753  0.0809  0.0815  0.0887  0.0891  0.1026  0.1112  0.1146  0.1213  0.1258  0.1263  0.1265  0.1248  0.1076  0.1002  0.1192  0.1247  0.0833  0.0881  0.0863  0.0770  0.0883  0.0883  0.0968  0.1275  0.1305  0.1294
  0.1289  0.1311  0.1283  0.0758  0.0698  0.0742  0.0732  0.0715  0.0717  0.0718  0.0716  0.0712  0.0708  0.0705  0.0751  0.1030  0.1065  0.1137  0.1200  0.1220  0.1229  0.1221  0.0759  0.1040  0.1068  0.0818  0.0821  0.1070  0.1090  0.1032  0.1144  0.1164  0.1168  0.1173  0.1200  0.1225
  0.1279  0.1257  0.1211  0.0747  0.0669  0.0681  0.0687  0.0687  0.0686  0.0686  0.0683  0.0678  0.0673  0.0671  0.0682  0.0965  0.1050  0.1094  0.1138  0.1179  0.1193  0.1169  0.0768  0.0743  0.0665  0.0659  0.0819  0.1059  0.1085  0.1097  0.1106  0.1112  0.1119  0.1116  0.1151  0.1204
  0.1209  0.1229  0.1138  0.0706  0.0642  0.0652  0.0654  0.0650  0.0648  0.0649  0.0647  0.0640  0.0636  0.0637  0.0640  0.0903  0.1049  0.1073  0.1094  0.1102  0.1105  0.1076  0.0818  0.0629  0.0629  0.0699  0.0792  0.1040  0.1067  0.1089  0.1108  0.1121  0.1129  0.1142  0.1175  0.1173
  0.1109  0.1094  0.1064  0.0693  0.0614  0.0618  0.0617  0.0613  0.0611  0.0613  0.0612  0.0606  0.0602  0.0604  0.0610  0.0826  0.1042  0.1062  0.1085  0.1083  0.1051  0.0774  0.0687  0.0600  0.0597  0.0625  0.0969  0.1025  0.1006  0.0914  0.0837  0.1083  0.1101  0.1123  0.1306  0.1134
  0.0945  0.0705  0.0697  0.0587  0.0586  0.0588  0.0586  0.0584  0.0583  0.0584  0.0582  0.0579  0.0577  0.0577  0.0581  0.0689  0.1014  0.1041  0.1051  0.1022  0.0689  0.0573  0.0572  0.0573  0.0574  0.0722  0.0830  0.0715  0.0623  0.0705  0.0752  0.1054  0.1072  0.1727  0.2369  0.1470
  0.0909  0.0561  0.0560  0.0563  0.0566  0.0564  0.0564  0.0563  0.0563  0.0561  0.0558  0.0557  0.0557  0.0557  0.0556  0.0565  0.0988  0.1029  0.0911  0.0818  0.0549  0.0550  0.0550  0.0550  0.0554  0.0958  0.0643  0.0870  0.0551  0.0564  0.0659  0.0862  0.1587  0.2940  0.3550  0.1875
  0.1095  0.0760  0.0545  0.0550  0.0548  0.0541  0.0541  0.0543  0.0542  0.0537  0.0533  0.0536  0.0537  0.0536  0.0531  0.0538  0.0943  0.0954  0.0529  0.0525  0.0527  0.0529  0.0530  0.0528  0.0537  0.1978  0.0536  0.0717  0.0741  0.0581  0.0668  0.0537  0.2237  0.3550  0.3549  0.1571
  0.1149  0.0744  0.0532  0.0536  0.0531  0.0521  0.0522  0.0527  0.0526  0.0519  0.0514  0.0520  0.0522  0.0520  0.0513  0.0517  0.0680  0.0808  0.0509  0.0506  0.0512  0.0516  0.0516  0.0512  0.0520  0.2111  0.0996  0.0584  0.0562  0.0568  0.0948  0.0548  0.2981  0.3550  0.3532  0.1665
